id,no_aduan,nama_pelapor_id,no_tel,bahagian_unit_id,premis,no_dpa,skop_perkhidmatan_id,lain_skop,mod_aduan_id,lain_mod,lokasi_id,lokasi_lain,aras_id,nama_no_bilik,keterangan_rosak,keutamaan_id,kategori_id,pegawai_penerima_id,jawatan_id,tindakan_id,created_at,updated_at,deleted_at,status_id,html,muatturun,gambar_1,gambar_2,catatan_pengadu,catatan_penerima,jenis_kerja_id,ditugaskan_id,tarikh_ditugaskan,masa_ditugaskan,ulasan_rosak,jenis_alat_ganti,keterangan_alat_ganti,harga_seunit_alat,kuantiti_alat,jumlah_alat,perihal_kerja,tarikh_mula,tarikh_siap,nama_kontraktor,tarikh_mula_kon,tarikh_siap_kon,kos_akhir,tempoh_tanggungan
,ATA/1-2021/1,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Tandas Lelaki Perisian (BLOK B),1,,Sesalur air tercabut,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/2,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Tandas Lelaki Perisian (BLOK B),1,,siling bocor,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/3,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Kuarters D4,1,,Tangki berbunyi,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/4,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Aras 1 Asrama D,1,,Air meresap ke dinding,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/5,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Bilik Pelawat 4, Asrama B (Aras tanah)",1,,Skrew Pintu grill tercabut,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan BPPA,,,,,,,,,,,,,,,,,,
,ATA/1-2021/6,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Tandas lelaki aras 1 rangkaian,1,,Kawasan lantai tandas tersumbat.,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,Dalam tindakan perolehan,,,,,,,,,,,,,,,,,,
,ATA/1-2021/7,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,Kaunter Pusat Sumber,1,,Talian telefon utama (pindah ke lokasi baru),1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/8,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Makmal Maintenance, Aras 1, Bengkel Rangkaian.",1,,Internet tiada di makmal.,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/9,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Bilik D54, Asrama Blok D (Bilik ada pelajar)",1,,Kipas rosak,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
,ATA/1-2021/10,3,,1,Institut Latihan Perindustrian Selandar,1114111MYS.040214.BE0001,1,,1,,1,"Bilik Basuh Asrama D, Aras 2",1,,Lampu tidak menyala,1,1,4,1,1,27/4/2021 10:18,27/4/2021 10:18,,1,,,,,,,,,,,,,,,,,,,,,,,,
